name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fp2	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F3	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F4	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
C3	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
C4	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P3	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P4	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
O1	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
O2	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F7	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F8	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T7	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T8	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P7	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P8	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fz	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Cz	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Pz	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
AFz	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
CPz	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
POz	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
M1	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
M2	EEG	µV	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
